Age,OVA,POT,Release Clause,Best Position,Club,Value,Attacking,Defending,Goalkeeping
23,82,89,57800000.0,LB,Tottenham Hotspur,58000000.0,334,235,51
29,82,82,37400000.0,ST,TSG 1899 Hoffenheim,30500000.0,395,81,58
28,82,82,31500000.0,CAM,Ajax,30500000.0,376,134,49
24,82,86,42500000.0,GK,LOSC Lille,34500000.0,100,45,407
25,82,83,57600000.0,ST,Sevilla FC,36500000.0,402,174,53
25,82,86,41500000.0,GK,Chelsea,33500000.0,123,53,409
26,82,84,47000000.0,CB,Borussia Dortmund,37500000.0,383,248,54
26,82,83,40800000.0,CB,Borussia Mönchengladbach,31500000.0,338,249,46
28,82,84,42400000.0,GK,Deportivo Alavés,26000000.0,81,47,398
28,82,82,32299999.999999996,LB,RB Leipzig,27500000.0,359,240,64
26,82,85,46100000.0,CAM,Guangzhou Evergrande Taobao FC,40000000.0,392,148,59
25,82,85,59500000.0,CAM,Atlético Madrid,40500000.0,379,155,56
28,82,84,42400000.0,GK,Villarreal CF,26000000.0,87,45,406
24,82,88,57000000.0,CM,Napoli,48000000.0,366,223,60
31,82,82,29400000.0,GK,Sevilla FC,16000000.0,78,56,400
32,82,82,25700000.0,GK,Grêmio,15000000.0,55,50,401
27,82,85,47400000.0,CB,Manchester United,34500000.0,310,243,62
30,82,82,25200000.0,CB,Ajax,25000000.0,368,247,55
28,82,83,36500000.0,GK,Burnley,24000000.0,82,43,402
29,82,82,44000000.0,ST,Leeds United,30500000.0,395,125,46
27,82,86,0.0,GK,Fulham,32000000.0,117,43,406
29,82,82,29600000.0,RWB,PFC CSKA Moscow,27000000.0,344,244,64
30,82,82,30800000.0,GK,FC Barcelona,20500000.0,88,46,400
27,82,84,34700000.0,GK,Genoa,28000000.0,86,51,401
32,82,82,27000000.0,GK,FC Porto,15000000.0,95,52,403
28,82,82,42800000.0,CAM,Everton,30500000.0,409,137,64
28,82,82,0.0,CDM,Paris Saint-Germain,27000000.0,329,234,58
27,82,83,44900000.0,ST,Juventus,35500000.0,400,71,22
29,82,83,45700000.0,CB,Valencia CF,28000000.0,318,248,58
29,82,82,45200000.0,CAM,Real Betis,29500000.0,353,186,68
30,82,82,35700000.0,RM,Bayer 04 Leverkusen,29500000.0,351,95,50
30,82,82,25500000.0,GK,TSG 1899 Hoffenheim,20500000.0,82,47,401
31,82,82,29400000.0,GK,Villarreal CF,16000000.0,105,53,405
31,82,82,27200000.0,RB,Bayer 04 Leverkusen,22000000.0,343,254,44
42,82,82,3600000.0,GK,Juventus,3400000.0,95,35,396
29,82,82,35500000.0,CM,Juventus,29500000.0,371,208,40
34,82,82,16800000.0,CB,Villarreal CF,10000000.0,247,261,36
31,82,82,37100000.0,CAM,Arsenal,25000000.0,366,59,50
33,82,82,25700000.0,LW,Olympique de Marseille,19000000.0,383,110,61
32,82,82,35700000.0,CM,Sevilla FC,24000000.0,386,225,51
31,82,82,37100000.0,RW,Arsenal,25000000.0,323,151,59
31,82,82,32000000.0,ST,Shanghai SIPG FC,25500000.0,399,121,64
34,82,82,18100000.0,GK,Galatasaray SK,5000000.0,91,44,400
34,82,82,13600000.0,LB,Inter,11000000.0,372,246,61
31,82,82,27200000.0,CB,FC Bayern München,21000000.0,316,251,45
31,82,82,33200000.000000004,LM,Inter,25000000.0,403,170,38
22,81,89,54600000.0,CAM,Olympique Lyonnais,57500000.0,356,194,48
26,81,82,37300000.0,RM,Lazio,30500000.0,330,162,47
21,81,89,61000000.0,LM,Getafe CF,58000000.0,340,226,50
23,81,87,45100000.0,CB,Manchester City,37000000.0,248,248,47
20,81,88,47500000.0,LM,Bayer 04 Leverkusen,51000000.0,315,131,47
20,81,89,54300000.0,RM,Manchester City,56500000.0,376,87,59
20,81,93,72000000.0,CAM,Atlético Madrid,62500000.0,381,107,66
22,81,87,48400000.0,LB,Atlético Madrid,38500000.0,348,230,55
23,81,85,47700000.0,LM,Leeds United,37000000.0,339,137,50
27,81,82,33100000.0,ST,Atlanta United,30000000.0,359,55,60
19,81,89,41600000.0,LB,FC Bayern München,53000000.0,340,233,47
20,81,81,33299999.999999996,CDM,Atlético Mineiro,25500000.0,323,249,62
23,81,88,53600000.0,ST,Everton,52000000.0,387,148,51
28,81,81,33299999.999999996,ST,Flamengo,26500000.0,378,44,43
24,81,81,35100000.0,CAM,Palmeiras,29500000.0,351,144,45
20,81,81,0.0,LB,No Club,0.0,327,228,60
28,81,81,35200000.0,ST,Atlético Mineiro,26500000.0,379,77,78
28,81,81,28500000.0,LWB,São Paulo,23500000.0,351,214,60
24,81,81,0.0,CB,No Club,0.0,309,246,73
23,81,85,40500000.0,LB,Chelsea,34500000.0,311,238,48
21,81,87,51500000.0,RM,Chelsea,41500000.0,341,117,63
25,81,86,42500000.0,CDM,West Ham United,34500000.0,355,239,43
28,81,82,32600000.0,GK,SD Eibar,20500000.0,130,61,400
27,81,81,32299999.999999996,ST,VfL Wolfsburg,28000000.0,372,94,62
24,81,85,40400000.0,CB,Paris Saint-Germain,33000000.0,283,245,53
28,81,81,31500000.0,RB,Athletic Club de Bilbao,23500000.0,331,228,54
24,81,83,37500000.0,LB,Manchester United,31000000.0,329,241,49
23,81,85,45400000.0,CM,Leicester City,36500000.0,378,204,50
26,81,81,0.0,RM,Napoli,28000000.0,350,121,48
23,81,85,45400000.0,CAM,Leicester City,37000000.0,342,166,65
25,81,85,43300000.0,CAM,Liverpool,35500000.0,334,194,59
24,81,86,49800000.0,CAM,SL Benfica,39000000.0,341,87,73
24,81,85,0.0,CDM,Atlético Madrid,33500000.0,336,240,39
26,81,84,48900000.0,ST,Athletic Club de Bilbao,34000000.0,376,110,66
24,81,84,39500000.0,CB,Tottenham Hotspur,31500000.0,258,251,47
26,81,84,38500000.0,LWB,Wolverhampton Wanderers,31000000.0,316,240,45
30,81,81,23100000.0,CM,River Plate,24500000.0,375,209,51
25,81,84,39900000.0,CAM,Lazio,34500000.0,375,102,44
27,81,84,30600000.0,GK,OGC Nice,25500000.0,78,54,399
24,81,85,48900000.0,CAM,Atlético Madrid,37000000.0,369,177,60
26,81,86,36300000.0,GK,SL Benfica,29500000.0,81,43,390
23,81,85,46400000.0,ST,Olympique Lyonnais,37500000.0,360,69,49
25,81,82,36200000.0,CM,Juventus,30500000.0,372,226,52
27,81,83,37500000.0,CM,Manchester United,28000000.0,346,226,64
23,81,87,56400000.0,LM,Valencia CF,40500000.0,362,88,50
29,81,81,25500000.0,CDM,Atalanta,22000000.0,345,245,60
24,81,85,35400000.0,CB,FC Bayern München,34500000.0,350,241,53
28,81,81,27200000.0,CB,Borussia Dortmund,22500000.0,364,245,60
31,81,81,24200000.0,GK,Real Valladolid CF,13500000.0,106,48,393
28,81,81,33299999.999999996,RM,Liverpool,26000000.0,350,132,59
29,81,81,30000000.0,CB,Sporting CP,21500000.0,252,253,73
29,81,81,28900000.0,CM,RB Leipzig,25000000.0,320,188,53
26,81,85,29300000.0,GK,Cagliari,27500000.0,78,43,395
27,81,83,36500000.0,CB,Chelsea,27500000.0,290,249,59
26,81,84,39900000.0,ST,Napoli,34000000.0,370,101,62
26,81,84,31600000.0,GK,Everton,26000000.0,126,53,407
29,81,82,36100000.0,CB,Atlético Madrid,24000000.0,251,251,66
32,81,81,19600000.0,ST,PSV,21000000.0,379,105,62
28,81,81,0.0,RB,Bayer 04 Leverkusen,23500000.0,315,233,66
29,81,81,26800000.0,RB,Paris Saint-Germain,22500000.0,381,232,48
26,81,81,39900000.0,CAM,Sevilla FC,28000000.0,361,91,56
25,81,84,37500000.0,LWB,Manchester City,31500000.0,309,236,47
27,81,81,0.0,LM,FC Porto,27500000.0,345,152,43
28,81,81,28500000.0,RWB,Tottenham Hotspur,23500000.0,340,228,55
27,81,81,36100000.0,ST,AS Monaco,28000000.0,397,105,43
26,81,82,45700000.0,ST,Villarreal CF,31000000.0,379,89,53
28,81,81,25200000.0,CAM,Feyenoord,26000000.0,366,100,49
31,81,81,24200000.0,GK,Valencia CF,13500000.0,108,41,397
28,81,81,33299999.999999996,RW,Paris Saint-Germain,26000000.0,368,163,58
28,81,81,25500000.0,RB,Borussia Dortmund,23500000.0,383,231,51
26,81,83,43500000.0,ST,West Ham United,32500000.0,369,155,40
32,81,81,15400000.0,GK,Club Brugge KV,13000000.0,91,37,397
30,81,81,29400000.0,LB,Shakhtar Donetsk,22000000.0,335,226,51
30,81,81,27200000.0,CAM,Beijing Sinobo Guoan FC,25000000.0,363,181,64
31,81,81,22100000.0,CB,Bayer 04 Leverkusen,17500000.0,297,252,57
32,81,81,18200000.0,RW,Juventus,18000000.0,365,226,38
36,81,81,7200000.0,CAM,Vissel Kobe,8000000.0,367,181,45
29,81,81,27600000.0,LB,Chelsea,22500000.0,396,232,50
28,81,81,25200000.0,CAM,PSV,26000000.0,375,159,49
29,81,81,24500000.0,RM,Boca Juniors,25500000.0,370,165,48
32,81,81,29400000.0,RM,Shakhtar Donetsk,20500000.0,355,133,49
32,81,81,25200000.0,CAM,1. FC Union Berlin,20500000.0,385,124,46
33,81,81,17300000.0,CM,Juventus,16000000.0,377,234,48
31,81,81,22300000.0,CB,FC Bayern München,18000000.0,321,252,45
32,81,81,29400000.0,LM,Shakhtar Donetsk,20500000.0,362,131,53
33,81,81,17000000.0,CB,FC Porto,12500000.0,284,248,61
32,81,81,20900000.0,CM,Dalian YiFang FC,20000000.0,387,207,46
33,81,81,19000000.0,GK,AS Saint-Étienne,8500000.0,80,36,398
35,81,81,9100000.0,GK,West Ham United,2900000.0,75,39,395
33,81,81,16200000.0,GK,Sassuolo,8500000.0,80,46,398
37,81,81,11100000.0,CAM,Fiorentina,9000000.0,357,82,47
30,81,81,33800000.0,CM,Atlético Madrid,24500000.0,338,230,54
37,81,81,7200000.0,CB,FC Porto,4600000.0,270,250,47
29,81,82,21400000.0,GK,Boca Juniors,20000000.0,97,59,403
34,81,81,15200000.0,ST,Tigres U.A.N.L.,12500000.0,390,97,61
36,80,80,0.0,CB,No Club,0.0,306,247,80
19,80,93,73600000.0,RM,Real Madrid,50000000.0,331,75,36
23,80,85,43500000.0,ST,Valencia CF,32000000.0,378,78,46
25,80,85,33000000.0,GK,Dinamo Zagreb,24500000.0,94,65,393
22,80,86,49200000.0,CAM,Dynamo Kyiv,34000000.0,345,135,49
32,80,80,0.0,GK,No Club,0.0,55,42,393
32,80,80,0.0,LB,No Club,0.0,322,230,60
36,80,80,0.0,CDM,No Club,0.0,328,238,55
32,80,80,0.0,CAM,No Club,0.0,335,67,48
28,80,80,0.0,ST,No Club,0.0,368,79,78
28,80,80,0.0,CB,No Club,0.0,279,243,70
28,80,80,0.0,CAM,No Club,0.0,369,108,65
23,80,87,43100000.0,CAM,Tottenham Hotspur,42000000.0,327,208,46
27,80,81,28600000.0,LB,Tottenham Hotspur,22000000.0,329,239,45
23,80,85,29500000.0,CAM,Ajax,32000000.0,337,104,48
22,80,86,39000000.0,CAM,RB Leipzig,34000000.0,355,211,43
23,80,87,33600000.0,GK,Manchester United,36000000.0,73,45,390
24,80,85,35600000.0,CB,Leicester City,29000000.0,284,242,34
22,80,87,42800000.0,CB,Real Madrid,40000000.0,301,244,61
23,80,86,35700000.0,GK,Athletic Club de Bilbao,27000000.0,94,41,389
21,80,87,44100000.0,CAM,Chelsea,43000000.0,356,132,56
24,80,85,39200000.0,CDM,Getafe CF,29000000.0,293,239,55
22,80,85,31100000.0,LB,Milan,30000000.0,361,229,43
22,80,85,42500000.0,ST,Real Madrid,33000000.0,385,67,49
32,80,80,17100000.0,CB,Palmeiras,13500000.0,252,239,47
22,80,86,39000000.0,ST,Borussia Mönchengladbach,34000000.0,375,129,62
23,80,85,33700000.0,CM,Manchester City,29500000.0,355,232,61
20,80,80,31400000.0,CAM,Fluminense,24000000.0,335,65,48
31,80,80,0.0,ST,No Club,0.0,361,54,52
24,80,80,26600000.0,RB,Atlético Mineiro,22000000.0,320,233,65
