ID,Name,Nationality,Age,OVA,POT,Club,Contract,Height,Weight,Preferred Foot,Best Position,Joined,Value,Wage,Release Clause,Attacking,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Skill,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Movement,Acceleration,Sprint Speed,Agility,Reactions,Balance,Power,Shot Power,Jumping,Stamina,Strength,Long Shots,Mentality,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defending,Marking,Standing Tackle,Sliding Tackle,Goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Base Stats,W/F,SM,A/W,D/W,IR,PAC,SHO,PAS,DRI,DEF,PHY,Hits,t
203376,V. van Dijk,Netherlands,28,90,91,"



Liverpool",2018 ~ 2023,193,92,Right,CB,2018-01-01,113000000.0,210000.0,145300000.0,316,53,52,87,79,45,363,70,60,70,86,77,354,72,79,61,89,53,402,81,90,75,92,64,347,83,90,47,65,62,90,272,93,93,86,58,13,10,13,11,11,2112,455,3,2,Medium,Medium,3,76,60,71,71,91,86,321.0,2018 ~ 2023
208722,S. Mané,Senegal,28,90,90,"



Liverpool",2016 ~ 2023,175,69,Right,LW,2016-07-01,120500000.0,250000.0,144300000.0,410,76,90,84,85,75,391,91,76,64,71,89,460,95,93,93,93,86,406,84,86,88,70,78,358,75,35,92,85,71,84,122,42,42,38,56,10,10,15,7,14,2203,469,4,4,High,Medium,3,94,85,80,90,44,76,189.0,2016 ~ 2023
200145,Casemiro,Brazil,28,89,89,"



Real Madrid",2013 ~ 2023,185,84,Right,CDM,2013-07-11,90500000.0,310000.0,122000000.0,349,58,64,80,84,63,369,69,63,74,84,79,343,60,69,61,87,66,437,88,87,90,91,81,396,91,87,72,80,66,84,259,84,88,87,67,13,14,16,12,12,2220,463,3,2,High,High,3,65,73,76,72,86,91,175.0,2013 ~ 2023
192119,T. Courtois,Belgium,28,89,90,"



Real Madrid",2018 ~ 2024,199,96,Left,GK,2018-08-09,82000000.0,250000.0,119000000.0,86,14,14,13,33,12,110,13,19,20,35,23,284,42,52,61,84,45,249,56,68,38,70,17,122,23,15,13,44,27,66,54,20,18,16,420,84,89,74,85,88,1325,468,3,1,Medium,Medium,4,84,89,74,88,48,85,96.0,2018 ~ 2024
167495,M. Neuer,Germany,34,89,89,"



FC Bayern München",2011 ~ 2023,193,92,Right,GK,2011-07-01,17500000.0,130000.0,47900000.0,119,15,13,25,55,11,160,30,14,11,59,46,286,54,60,51,86,35,284,68,77,43,80,16,188,29,30,12,70,47,70,38,17,10,11,440,87,87,91,86,89,1515,497,4,1,Medium,Medium,5,87,87,91,89,57,86,118.0,2011 ~ 2023
165153,K. Benzema,France,32,89,89,"



Real Madrid",2009 ~ 2022,185,81,Right,CF,2009-07-09,83500000.0,350000.0,108700000.0,426,75,88,91,86,86,404,87,81,73,73,90,388,77,72,79,91,69,400,84,79,78,80,79,363,63,39,90,87,84,90,89,47,24,18,41,13,11,5,5,7,2111,442,4,4,Medium,Low,4,74,85,81,86,40,76,216.0,2009 ~ 2022
155862,Sergio Ramos,Spain,34,89,89,"



Real Madrid",2005 ~ 2021,184,82,Right,CB,2005-08-01,33500000.0,300000.0,50200000.0,374,66,65,92,82,69,381,65,74,76,83,83,378,72,70,78,92,66,402,79,93,81,85,64,414,90,88,73,71,92,88,263,85,88,90,46,11,8,9,7,11,2258,463,3,3,High,Medium,4,71,70,76,73,88,85,212.0,2005 ~ 2021
153079,S. Agüero,Argentina,32,89,89,"



Manchester City",2011 ~ 2021,173,70,Right,ST,2011-07-28,83500000.0,300000.0,98100000.0,411,70,94,78,83,86,397,88,83,73,64,89,424,79,78,84,92,91,403,89,78,78,74,84,341,65,24,94,83,75,91,83,30,29,24,59,13,15,6,11,14,2118,439,4,4,High,Medium,4,78,90,77,88,33,73,154.0,2011 ~ 2021
202652,R. Sterling,England,25,88,90,"



Manchester City",2015 ~ 2023,170,69,Right,LW,2015-07-14,114500000.0,270000.0,139600000.0,360,78,85,46,84,67,387,90,77,63,69,88,464,96,90,94,90,94,358,78,57,79,65,79,332,59,30,92,82,69,80,147,47,53,47,63,15,12,12,15,9,2111,455,3,4,High,Medium,3,93,81,79,90,45,67,205.0,2015 ~ 2023
215914,N. Kanté,France,29,88,88,"



Chelsea",2016 ~ 2023,168,70,Right,CDM,2016-07-16,78000000.0,190000.0,96900000.0,328,68,65,54,85,56,336,79,49,49,79,80,420,79,76,82,91,92,381,71,77,96,72,65,386,90,91,72,79,54,85,264,89,90,85,54,15,12,10,7,10,2169,468,3,2,Medium,High,3,77,66,76,81,86,82,202.0,2016 ~ 2023
212622,J. Kimmich,Germany,25,88,90,"



FC Bayern München",2015 ~ 2023,176,73,Right,CDM,2015-07-01,103000000.0,145000.0,112100000.0,383,91,66,72,87,67,400,83,85,61,86,85,399,77,66,84,88,84,403,78,79,95,67,84,379,89,82,80,84,44,85,245,82,84,79,60,8,15,7,15,15,2269,473,4,3,High,Medium,3,71,72,86,84,81,79,339.0,2015 ~ 2023
211110,P. Dybala,Argentina,26,88,89,"



Juventus",2015 ~ 2022,177,75,Left,CAM,2015-07-01,109000000.0,190000.0,122500000.0,405,82,84,64,87,88,436,91,88,88,75,94,437,89,82,92,84,90,382,82,75,78,60,87,348,48,42,85,87,86,84,120,32,48,40,26,5,4,4,5,8,2154,452,3,4,Medium,Medium,3,85,85,84,92,43,63,408.0,2015 ~ 2022
210257,Ederson,Brazil,26,88,91,"



Manchester City",2017 ~ 2024,188,86,Left,GK,2017-07-01,92000000.0,195000.0,103000000.0,123,20,14,14,57,18,157,23,15,20,59,40,322,64,63,60,87,48,273,70,66,41,78,18,172,38,27,20,70,17,70,52,29,15,8,435,86,82,93,86,88,1534,498,3,1,Medium,Medium,2,86,82,93,88,63,86,103.0,2017 ~ 2024
202126,H. Kane,England,26,88,89,"



Tottenham Hotspur",2010 ~ 2024,188,89,Right,ST,2010-07-01,109000000.0,220000.0,140200000.0,420,75,94,85,81,85,395,80,80,68,83,84,367,66,69,69,90,73,424,91,79,84,84,86,382,81,35,93,83,90,91,130,56,36,38,54,8,10,11,14,11,2172,449,4,3,High,High,3,68,91,80,80,47,83,332.0,2010 ~ 2024
162835,S. Handanovič,Slovenia,35,88,88,"



Inter",2012 ~ 2021,193,92,Right,GK,2012-07-01,10000000.0,100000.0,27200000.0,86,12,10,10,42,12,100,18,12,14,40,16,272,51,55,47,83,36,264,55,78,41,71,19,123,25,22,12,41,23,69,48,25,10,13,424,88,85,73,89,89,1317,477,3,1,Medium,Medium,3,88,85,73,89,53,89,86.0,2012 ~ 2021
201024,K. Koulibaly,Senegal,29,88,88,"



Napoli",2014 ~ 2023,187,89,Right,CB,2014-07-01,76500000.0,140000.0,85000000.0,224,30,22,84,74,14,262,69,28,28,63,74,328,73,77,52,85,41,316,55,82,70,94,15,294,87,87,35,52,33,82,267,91,89,87,43,7,11,7,13,5,1734,401,3,2,Medium,High,3,75,28,55,68,89,86,173.0,2014 ~ 2023
183277,E. Hazard,Belgium,29,88,88,"



Real Madrid",2019 ~ 2024,175,74,Right,LW,2019-07-01,89500000.0,350000.0,118900000.0,388,77,82,61,85,83,427,93,83,79,81,91,448,91,86,92,86,93,361,82,56,82,63,78,353,54,41,85,86,87,90,83,34,27,22,45,11,12,6,8,8,2105,446,4,4,High,Medium,4,88,82,83,92,35,66,246.0,2019 ~ 2024
182521,T. Kroos,Germany,30,88,88,"



Real Madrid",2014 ~ 2023,183,76,Right,CM,2014-07-17,87500000.0,310000.0,112800000.0,397,88,76,58,93,82,432,80,86,84,93,89,332,57,52,63,89,71,355,89,32,75,73,86,378,60,79,76,90,73,88,205,72,73,60,51,10,11,13,7,10,2150,447,5,3,Medium,Medium,4,54,81,91,81,71,69,161.0,2014 ~ 2023
194765,A. Griezmann,France,29,87,87,"



FC Barcelona",2019 ~ 2024,176,73,Left,ST,2019-07-12,79500000.0,290000.0,103500000.0,425,83,88,83,84,87,429,87,86,85,82,89,425,80,79,91,92,83,402,81,90,86,63,82,382,73,49,89,85,86,89,162,59,54,49,63,14,8,14,13,14,2288,465,3,4,Medium,Medium,4,79,85,84,88,57,72,396.0,2019 ~ 2024
233049,J. Sancho,England,20,87,93,"



Borussia Dortmund",2017 ~ 2023,180,76,Right,CAM,2017-08-31,124000000.0,82000.0,132100000.0,373,83,81,38,88,83,380,92,81,48,68,91,435,86,81,91,87,90,328,70,51,77,67,63,313,44,39,83,87,60,84,105,32,41,32,52,7,11,10,11,13,1986,430,3,5,High,Medium,3,83,74,81,91,37,64,1100.0,2017 ~ 2023
231281,T. Alexander-Arnold,England,21,87,92,"



Liverpool",2015 ~ 2024,180,69,Right,RB,2015-10-07,114000000.0,110000.0,115500000.0,365,93,56,69,85,62,426,77,88,85,89,87,391,77,83,74,83,74,370,80,66,88,62,74,371,74,82,76,84,55,81,241,79,83,79,56,14,15,14,6,7,2220,464,4,3,High,Medium,2,80,66,87,80,80,71,433.0,2015 ~ 2024
218667,Bernardo Silva,Portugal,25,87,88,"



Manchester City",2017 ~ 2025,173,64,Left,RW,2017-07-01,95000000.0,230000.0,115500000.0,371,85,79,51,86,70,411,92,84,67,76,92,434,85,78,94,85,92,350,76,51,93,54,76,356,69,49,85,85,68,87,148,49,59,40,54,9,10,14,12,9,2124,451,3,4,High,High,2,81,77,83,92,51,67,242.0,2017 ~ 2025
216267,A. Robertson,Scotland,26,87,89,"



Liverpool",2017 ~ 2024,178,64,Left,LB,2017-07-21,90500000.0,155000.0,102000000.0,328,90,57,67,82,32,358,80,82,38,76,82,400,79,85,78,84,74,365,78,62,95,65,65,378,85,82,77,79,55,83,248,83,84,81,50,11,8,10,7,14,2127,461,2,3,High,High,3,82,62,80,80,81,76,206.0,2017 ~ 2024
212218,A. Laporte,France,26,87,90,"



Manchester City",2018 ~ 2024,189,85,Left,CB,2018-01-30,92500000.0,200000.0,107800000.0,311,58,45,86,82,40,351,63,61,69,80,78,331,60,65,59,87,60,348,68,76,72,85,47,331,81,87,54,65,44,85,266,89,89,88,45,10,11,5,14,5,1983,422,3,2,Medium,Medium,2,63,50,72,68,88,81,177.0,2018 ~ 2024
212198,Bruno Fernandes,Portugal,25,87,90,"



Manchester United",2020 ~ 2025,179,69,Right,CAM,2020-01-30,105500000.0,195000.0,124400000.0,396,87,77,58,88,86,433,85,86,87,87,88,398,78,76,79,86,79,411,89,72,94,67,89,408,70,74,83,90,91,86,194,72,67,55,63,12,14,15,8,14,2303,476,4,4,High,High,2,77,83,88,85,68,75,1500.0,2020 ~ 2025
209499,Fabinho,Brazil,26,87,89,"



Liverpool",2018 ~ 2023,188,78,Right,CDM,2018-07-01,88500000.0,155000.0,104900000.0,345,75,63,75,85,47,365,76,71,53,83,82,349,66,68,66,84,65,395,81,75,88,81,70,412,86,87,70,79,90,84,258,86,87,85,47,13,12,6,8,8,2171,460,2,3,Medium,High,3,67,69,79,77,85,83,198.0,2018 ~ 2023
200104,H. Son,Korea Republic,27,87,87,"



Tottenham Hotspur",2015 ~ 2023,183,78,Right,LM,2015-08-28,85000000.0,165000.0,99800000.0,399,81,86,68,83,81,400,88,85,70,70,87,429,86,90,86,89,78,385,88,56,87,64,90,345,62,39,88,83,73,88,117,50,34,33,53,11,13,13,6,10,2128,453,5,4,High,High,3,88,86,80,87,43,69,459.0,2015 ~ 2023
201942,Roberto Firmino,Brazil,28,87,87,"



Liverpool",2015 ~ 2023,181,76,Right,CF,2015-07-06,81500000.0,190000.0,96200000.0,400,73,80,75,87,85,403,90,81,65,76,91,416,78,77,85,90,86,402,82,81,88,74,77,377,75,58,86,86,72,88,166,60,64,42,44,8,11,9,6,10,2208,467,4,5,High,High,3,77,80,81,90,61,78,173.0,2015 ~ 2023
193041,K. Navas,Costa Rica,33,87,87,"



Paris Saint-Germain",2019 ~ 2023,185,80,Right,GK,2019-09-02,26000000.0,110000.0,50000000.0,78,11,15,11,30,11,98,16,11,15,37,19,312,54,53,60,84,61,257,56,74,39,75,13,161,32,20,16,68,25,67,56,28,14,14,418,90,81,75,82,90,1380,471,3,1,Medium,Medium,3,90,81,75,90,53,82,117.0,2019 ~ 2023
138956,G. Chiellini,Italy,35,87,87,"



Juventus",2005 ~ 2021,187,85,Left,CB,2005-07-01,21000000.0,95000.0,25600000.0,280,54,33,83,65,45,276,59,60,31,65,61,326,60,70,57,82,57,355,78,87,54,87,49,306,90,88,28,50,50,84,272,94,90,88,15,3,3,2,4,3,1830,399,3,2,Medium,High,4,66,46,58,60,90,79,130.0,2005 ~ 2021
189511,Sergio Busquets,Spain,31,87,87,"



FC Barcelona",2008 ~ 2023,189,76,Right,CDM,2008-09-01,56000000.0,240000.0,77900000.0,330,62,67,68,89,44,386,81,66,68,83,88,284,40,43,67,84,50,337,61,66,81,75,54,387,81,85,77,84,60,93,249,86,83,80,48,5,8,13,9,13,2021,424,3,3,Medium,Medium,4,42,62,80,80,83,77,119.0,2008 ~ 2023
188567,P. Aubameyang,Gabon,31,87,87,"



Arsenal",2018 ~ 2023,187,80,Right,ST,2018-01-31,67500000.0,170000.0,85500000.0,403,76,91,75,77,84,383,80,81,76,64,82,418,91,94,77,88,68,389,82,75,80,74,78,339,43,48,93,77,78,88,92,27,29,36,48,6,9,15,9,9,2072,441,4,4,High,High,3,93,86,75,80,38,69,209.0,2018 ~ 2023
186153,W. Szczęsny,Poland,30,87,87,"



Juventus",2017 ~ 2024,195,90,Right,GK,2017-07-19,53000000.0,105000.0,56100000.0,86,12,12,16,32,14,99,11,16,14,36,22,286,51,47,55,82,51,250,55,71,45,65,14,135,40,15,14,48,18,65,45,20,13,12,416,86,82,73,87,88,1317,465,3,1,Medium,Medium,3,86,82,73,88,49,87,84.0,2017 ~ 2024
183898,A. Di María,Argentina,32,87,87,"



Paris Saint-Germain",2015 ~ 2021,180,69,Left,RW,2015-08-06,63000000.0,160000.0,72200000.0,379,88,79,51,83,78,432,88,89,88,80,87,419,82,83,94,84,76,379,83,72,78,60,86,360,73,42,84,88,73,86,148,41,55,52,51,10,7,11,12,11,2168,453,2,5,High,Medium,4,83,81,85,88,48,68,187.0,2015 ~ 2021
177003,L. Modrić,Croatia,34,87,87,"



Real Madrid",2012 ~ 2021,172,66,Right,CM,2012-08-01,36500000.0,260000.0,50200000.0,380,86,72,55,91,76,427,85,85,78,89,90,417,76,70,91,88,92,371,79,68,84,58,82,391,62,79,78,90,82,92,214,68,75,71,52,13,9,7,14,9,2252,463,4,4,High,Medium,4,73,76,89,88,71,66,165.0,2012 ~ 2021
176580,L. Suárez,Uruguay,33,87,87,"



Atlético Madrid",2020 ~ 2022,182,83,Right,ST,2020-09-25,51000000.0,115000.0,64599999.99999999,429,80,92,84,83,90,413,84,86,82,77,84,386,72,68,76,92,78,409,89,69,78,85,88,386,87,41,91,84,83,85,140,57,45,38,153,27,25,31,33,37,2316,459,4,3,High,Medium,5,70,90,82,83,51,83,203.0,2020 ~ 2022
167948,H. Lloris,France,33,87,87,"



Tottenham Hotspur",2012 ~ 2022,188,82,Left,GK,2012-08-31,26000000.0,125000.0,51300000.0,94,13,10,10,50,11,115,10,11,10,50,34,321,65,62,55,85,54,223,51,74,41,43,14,138,31,27,10,30,40,65,57,29,10,18,413,89,82,68,84,90,1361,476,1,1,Medium,Medium,4,89,82,68,90,63,84,65.0,2012 ~ 2022
192387,C. Immobile,Italy,30,87,87,"



Lazio",2016 ~ 2025,185,85,Right,ST,2016-07-27,78000000.0,125000.0,82500000.0,394,55,93,81,80,85,341,83,70,51,53,84,409,82,85,75,90,77,398,86,77,78,77,80,369,77,40,93,71,88,86,99,34,33,32,47,6,8,15,12,6,2057,438,4,3,High,Medium,3,84,88,67,83,39,77,336.0,2016 ~ 2025
189596,T. Müller,Germany,30,86,86,"



FC Bayern München",2008 ~ 2023,186,75,Right,CAM,2008-08-10,65500000.0,130000.0,69300000.0,419,85,85,81,84,84,375,75,81,59,78,82,374,68,68,73,94,71,388,78,77,86,66,81,359,62,58,94,85,60,84,150,47,57,46,52,6,7,11,14,14,2117,437,4,3,High,High,4,68,82,82,78,56,71,126.0,2008 ~ 2023
193080,De Gea,Spain,29,86,86,"



Manchester United",2011 ~ 2023,192,82,Right,GK,2011-07-01,46500000.0,150000.0,59900000.0,114,17,13,21,50,13,143,18,21,19,47,38,304,57,58,63,83,43,241,59,67,43,60,12,170,38,30,12,61,29,65,59,25,21,13,418,88,81,78,82,89,1449,476,3,1,Medium,Medium,4,88,81,78,89,58,82,313.0,2011 ~ 2023
204963,Carvajal,Spain,28,86,86,"



Real Madrid",2013 ~ 2022,173,73,Right,RB,2013-07-05,61500000.0,230000.0,77900000.0,339,84,51,72,83,49,359,78,76,47,74,84,403,79,80,79,84,81,355,68,77,89,74,47,361,84,83,75,74,45,82,251,83,83,85,65,13,13,15,9,15,2133,454,3,3,High,High,3,80,54,78,80,82,80,124.0,2013 ~ 2022
201535,R. Varane,France,27,86,88,"



Real Madrid",2011 ~ 2022,191,81,Right,CB,2011-07-01,72500000.0,220000.0,98800000.0,293,42,46,85,78,42,309,55,46,52,77,79,351,79,85,62,86,39,347,52,81,75,86,53,321,80,87,52,59,43,83,262,89,87,86,50,11,11,9,5,14,1933,428,3,2,Medium,High,3,82,49,64,64,87,82,154.0,2011 ~ 2022
199556,M. Verratti,Italy,27,86,87,"



Paris Saint-Germain",2012 ~ 2024,165,60,Right,CM,2012-07-18,77500000.0,135000.0,96300000.0,344,75,60,55,90,64,411,90,78,64,89,90,401,68,61,91,87,94,308,56,65,76,53,58,397,89,85,71,88,64,94,243,78,82,83,64,12,12,15,15,10,2168,445,4,4,Medium,High,3,64,60,85,90,79,67,145.0,2012 ~ 2024
195864,P. Pogba,France,27,86,87,"



Manchester United",2016 ~ 2021,191,84,Right,CM,2016-08-09,77500000.0,190000.0,98800000.0,400,80,75,75,86,84,435,87,85,82,91,90,365,66,79,73,81,66,426,90,82,83,89,82,394,78,64,81,88,83,87,195,63,67,65,20,5,6,2,4,3,2235,476,4,5,High,Medium,4,73,81,86,85,66,85,538.0,2016 ~ 2021
208830,J. Vardy,England,33,86,86,"



Leicester City",2012 ~ 2023,179,74,Right,ST,2012-05-01,43500000.0,160000.0,53200000.0,390,68,92,79,69,82,330,77,67,57,48,81,414,90,87,72,90,75,378,87,79,79,68,65,385,87,49,92,73,84,87,160,57,50,53,62,15,14,7,15,11,2119,447,3,3,High,High,3,88,85,66,78,55,75,182.0,2012 ~ 2023
152729,Piqué,Spain,33,86,86,"



FC Barcelona",2008 ~ 2022,194,85,Right,CB,2008-07-01,32500000.0,220000.0,43100000.0,344,57,65,84,81,57,325,63,58,43,81,80,292,48,64,57,88,35,343,62,74,69,87,51,371,79,87,64,72,69,87,258,88,86,84,58,10,11,14,15,8,1991,422,3,2,High,Medium,4,57,61,71,67,86,80,175.0,2008 ~ 2022
178603,M. Hummels,Germany,31,86,86,"



Borussia Dortmund",2019 ~ 2022,191,94,Right,CB,2019-07-01,46500000.0,95000.0,56100000.0,349,65,55,87,82,60,355,69,66,53,86,81,323,46,67,63,87,60,341,71,68,65,86,51,366,71,91,56,80,68,89,264,90,88,86,42,15,6,10,5,6,2040,431,3,3,High,High,4,58,58,77,72,89,77,101.0,2019 ~ 2022
177683,Y. Sommer,Switzerland,31,86,86,"



Borussia Mönchengladbach",2014 ~ 2023,183,79,Right,GK,2014-07-01,36000000.0,55000.0,48500000.0,84,13,13,10,40,8,96,15,12,13,31,25,299,48,54,55,84,58,262,64,73,45,68,12,162,38,21,15,64,24,57,40,9,19,12,423,80,86,85,87,85,1366,474,4,1,Medium,Medium,3,80,86,85,85,51,87,45.0,2014 ~ 2023
168542,David Silva,Spain,34,86,86,"



Real Sociedad",2020 ~ 2022,173,67,Left,CAM,2020-08-17,32000000.0,58000.0,47300000.0,383,84,72,53,92,82,420,86,82,77,84,91,388,68,61,85,87,87,325,72,64,70,46,73,358,56,50,86,91,75,92,140,58,53,29,46,6,15,7,6,12,2060,421,2,4,High,Medium,4,64,74,88,88,52,55,103.0,2020 ~ 2022
143076,A. Gómez,Argentina,32,86,86,"



Atalanta",2014 ~ 2022,167,68,Right,CAM,2014-09-02,54000000.0,100000.0,58700000.0,359,83,80,38,86,72,411,87,82,79,77,86,453,94,86,93,86,94,345,76,70,73,44,82,337,56,40,82,87,72,85,114,50,30,34,46,8,11,12,9,6,2065,435,4,4,High,Medium,3,90,79,84,88,39,55,377.0,2014 ~ 2022
189332,Jordi Alba,Spain,31,86,86,"



FC Barcelona",2012 ~ 2024,170,68,Left,LB,2012-07-01,49500000.0,220000.0,65599999.99999999,372,85,73,70,84,60,387,81,80,63,79,84,433,88,88,90,82,85,359,64,80,88,61,66,377,76,81,83,78,59,80,236,74,80,82,60,13,15,13,6,13,2224,471,3,3,High,Medium,3,88,69,81,83,78,72,99.0,2012 ~ 2024
183711,J. Henderson,England,30,86,86,"



Liverpool",2011 ~ 2023,182,80,Right,CDM,2011-06-09,57000000.0,140000.0,67500000.0,377,82,73,65,86,71,403,78,80,74,87,84,354,66,65,69,86,68,399,77,78,91,78,75,394,84,85,78,83,64,82,244,84,83,77,49,7,13,7,9,13,2220,465,3,3,High,High,2,65,74,84,79,81,82,194.0,2011 ~ 2023
231866,Rodri,Spain,24,85,88,"



Manchester City",2019 ~ 2024,191,82,Right,CDM,2019-07-04,66500000.0,145000.0,84700000.0,346,63,64,75,85,59,359,76,65,54,82,82,350,66,65,68,82,69,382,74,69,84,79,76,362,76,83,75,82,46,85,245,83,84,78,49,10,10,7,14,8,2093,448,4,3,Medium,High,2,65,68,77,77,82,79,161.0,2019 ~ 2024
223848,S. Milinković-Savić,Serbia,25,85,89,"



Lazio",2015 ~ 2024,191,76,Right,CM,2015-08-06,74500000.0,95000.0,87000000.0,389,64,80,86,85,74,412,86,78,75,85,88,348,66,72,64,83,63,421,83,85,85,88,80,377,79,78,79,85,56,84,231,78,79,74,47,7,10,7,16,7,2225,475,4,4,High,Medium,2,69,79,80,83,79,85,403.0,2015 ~ 2024
202556,M. Depay,Netherlands,26,85,88,"



Olympique Lyonnais",2017 ~ 2021,176,78,Right,CAM,2017-01-20,71500000.0,115000.0,95800000.0,386,83,83,65,81,74,414,85,85,86,74,84,413,85,87,80,82,79,408,87,76,81,81,83,344,75,28,84,84,73,78,80,29,31,20,50,8,14,6,12,10,2095,446,3,5,High,Low,3,86,83,81,84,32,80,414.0,2017 ~ 2021
235790,K. Havertz,Germany,21,85,93,"



Chelsea",2020 ~ 2025,188,83,Left,CAM,2020-09-04,121000000.0,105000.0,119700000.0,400,73,85,78,84,80,388,86,84,53,78,87,403,78,88,78,85,74,378,74,75,82,69,78,319,42,38,84,82,73,84,123,39,46,38,47,6,8,11,10,12,2058,441,4,4,Medium,Medium,3,84,81,79,85,45,67,593.0,2020 ~ 2025
